"PRIMARY_KEY","PRIMARY_CID","SECONDARY_KEY","SECONDARY_CID","QUESTION_KEY","QUESTION_CID","QUESTION_LABEL","QUESTION_NAME","QUESTION_DESCRIPTION","RESPONSE_KEY","RESPONSE_CID","RESPONSE_VALUE","QUESTION_DERIVATION","QUESTION_NOTES"
"Q3bodysize","","","","","","BMI at Round 2 (wtR2&htnow)","R2bodysizebmi","BMI at Round 2 (wtR2&htnow)","","","","bodysizewt20 and bodysizehtnow",""
"","","","","","","","Value","Format","","","","",""
"","","","","","","","888","no R2","","","","",""
"","","","","","","","989","unlikely value","","","","",""
"","","","","","","","999","n/k or pregnant","","","","",""
"Q3bodysize","","","","","","Weight at R2 questionnaire","R2bodysizewt","Weight at R2 questionnaire","","","","",""
"","","","","","","","Value","Format","","","","",""
"","","","","","","","888","no R2","","","","",""
"","","","","","","","989","unlikely value","","","","",""
"","","","","","","","999","n/k or pregnant","","","","",""
"Q3bodysize","","","","","","best height variable","bodysizeht","best height variable","","","","current height, height at age 20","Current height if not missing, otherwise height at age 20"
"","","","","","","","Value","Format","","","","",""
"","","","","","","","888","error","","","","",""
"","","","","","","","989","n/k","","","","",""
"","","","","","","","999","n/k","","","","",""
"Q3bodysize","","","","","","height at age 20, cm","bodysizeht20","height at age 20, cm","","","","",""
"","","","","","","","Value","Format","","","","",""
"","","","","","","","989","n/k","","","","",""
"Q3bodysize","","","","","","current height, cm","bodysizehtnow","current height, cm","","","","",""
"","","","","","","","Value","Format","","","","",""
"","","","","","","","888","error","","","","",""
"","","","","","","","999","n/k","","","","",""
